label_id,display_text,dev_top1_pct,j_top1_pct,live_rating,live_self_rate_pct,live_note,group,group_meaning
K42_01,你好,100.0,0.0,資料有問題,,L 影片全相反，尚未重訓；誤判為「我不舒服」,C,Dev 通過、J 未通過
K42_02,早安,100.0,100.0,辨識度高,55,50–60,A,三方一致可用
K42_03,晚安,100.0,100.0,辨識度高,70,70,A,三方一致可用
K42_04,謝謝,33.3,0.0,有問題,,,D,模型本身未學好
K42_05,對不起,100.0,42.9,辨識度高,80,食指打食指幅度要大,C,Dev 通過、J 未通過
K42_06,再見,100.0,0.0,辨識度高,75,70–80,C,Dev 通過、J 未通過
K42_07,請再說一次,100.0,100.0,辨識度高,20,速度放慢才會高,A,三方一致可用
K42_08,請慢一點,100.0,0.0,辨識度高,30,速度放慢才會高,C,Dev 通過、J 未通過
K42_09,我聽不懂,100.0,100.0,辨識度高,77.5,75–80,A,三方一致可用
K42_10,我知道,0.0,28.6,辨識度高,60,手須持平面垂直移動,D,模型本身未學好
K42_11,我不知道,100.0,0.0,有問題,20,需跟著搖頭,C,Dev 通過、J 未通過
K42_12,可以,13.3,93.3,辨識度高,,要點頭、放慢,D,模型本身未學好
K42_13,不可以,100.0,100.0,辨識度高,,放慢,A,三方一致可用
K42_14,我要喝水,100.0,100.0,辨識度高,65,60–70,A,三方一致可用
K42_15,我要上廁所,100.0,66.7,辨識度高,35,放慢；30–40,C,Dev 通過、J 未通過
K42_16,我肚子餓,100.0,73.3,辨識度高,90,90,C,Dev 通過、J 未通過
K42_17,我累了,100.0,78.6,辨識度高,80,80,C,Dev 通過、J 未通過
K42_18,我不舒服,100.0,40.0,辨識度高,80,80,C,Dev 通過、J 未通過
K42_19,請幫我,100.0,46.7,辨識度高,75,70–80,C,Dev 通過、J 未通過
K42_20,我要看醫生,0.0,13.3,有問題,,一直出現「我累了」,D,模型本身未學好
K42_21,現在幾點,100.0,100.0,辨識度高,75,70–80,A,三方一致可用
K42_22,今天星期幾,100.0,100.0,辨識度高,85,80–90,A,三方一致可用
K42_23,你叫什麼名字,73.3,93.3,辨識度高,40,35–45,D,模型本身未學好
K42_24,你住哪裡,100.0,100.0,辨識度高,75,70–80,A,三方一致可用
K42_25,多少錢,6.7,100.0,有問題,,手臂幅度被判為「我知道」,D,模型本身未學好
K42_26,太貴了,100.0,100.0,辨識度高,25,20–30,A,三方一致可用
K42_27,我不要,100.0,100.0,有問題,10,落在 2、3 名；誤判「我累了」,B,模型會、即時不會
K42_28,我要這個,0.0,0.0,有問題,,,D,模型本身未學好
K42_29,台北,93.3,73.3,辨識度高,60,60,C,Dev 通過、J 未通過
K42_30,新北,0.0,0.0,有問題,10,跳「台北」,D,模型本身未學好
K42_31,桃園,100.0,93.3,有問題,10,跳「請幫我」,B,模型會、即時不會
K42_32,台中,100.0,100.0,辨識度高,55,50–60,A,三方一致可用
K42_33,台南,6.7,33.3,有問題,,,D,模型本身未學好
K42_34,高雄,100.0,100.0,辨識度高,65,60–70,A,三方一致可用
K42_35,新竹,100.0,100.0,資料有問題,12.5,P 亂比，尚未重訓,B,模型會、即時不會
K42_36,宜蘭,0.0,40.0,資料有問題,,X 亂比，尚未重訓,D,模型本身未學好
K42_37,花蓮,0.0,0.0,有問題,,,D,模型本身未學好
K42_38,我住在台北,100.0,80.0,辨識度高,60,60,A,三方一致可用
K42_39,我在新竹上班,100.0,100.0,資料有問題,12.5,P 亂比，尚未重訓,B,模型會、即時不會
K42_40,你住在宜蘭嗎,80.0,21.4,有問題,8,8,C,Dev 通過、J 未通過
K42_41,我明天要去花蓮,100.0,6.7,辨識度高,35,30–40,C,Dev 通過、J 未通過
K42_42,我是桃園人,100.0,93.3,辨識度高,50,50,A,三方一致可用
