template_id,sequence_id,sentence_id,sentence_text,version,status,notes
T01,SEQ01,01,你好,daily30_v1,active,
T02,SEQ02,02,早安,daily30_v1,active,
T03,SEQ03,03,晚安,daily30_v1,active,
T04,SEQ04,04,謝謝,daily30_v1,active,
T05,SEQ05,05,對不起,daily30_v1,active,
T06,SEQ06,06,再見,daily30_v1,active,
T07,SEQ07,07,請再說一次,daily30_v1,active,
T08,SEQ08,08,請慢一點,daily30_v1,active,
T09,SEQ09,09,我聽不懂,daily30_v1,active,
T10,SEQ10,10,我知道,daily30_v1,active,
T11,SEQ11,11,我不知道,daily30_v1,active,
T12,SEQ12,12,可以,daily30_v1,active,
T13,SEQ13,13,不可以,daily30_v1,active,
T14,SEQ14,14,我要喝水,daily30_v1,active,
T15,SEQ15,15,我要上廁所,daily30_v1,active,
T16,SEQ16,16,我肚子餓,daily30_v1,active,
T17,SEQ17,17,我累了,daily30_v1,active,
T18,SEQ18,18,我不舒服,daily30_v1,active,
T19,SEQ19,19,請幫我,daily30_v1,active,
T20,SEQ20,20,我要看醫生,daily30_v1,active,
T21,SEQ21,21,現在幾點,daily30_v1,active,
T22,SEQ22,22,今天星期幾,daily30_v1,active,
T23,SEQ23,23,你叫什麼名字,daily30_v1,active,
T25,SEQ25,25,你住哪裡,daily30_v1,active,
T27,SEQ27,27,多少錢,daily30_v1,active,
T28,SEQ28,28,太貴了,daily30_v1,active,
T29,SEQ29,29,我不要,daily30_v1,active,
T30,SEQ30,30,我要這個,daily30_v1,active,
